PrecEsca | Entity: Sistema | Name: N/A | Frequency: ME
PrecEscaInf | Entity: Sistema | Name: N/A | Frequency: ME
PrecEscaSup | Entity: Sistema | Name: N/A | Frequency: ME
PrecBolsNac1 | Entity: Sistema | Name: N/A | Frequency: ME
DemaCome | Entity: Sistema | Name: N/A | Frequency: ME
CapaUtilDiarEner | Entity: Sistema | Name: N/A | Frequency: ME
Gene | Entity: Recurso | Name: N/A | Frequency: ME
MaxPrecOferNal | Entity: Sistema | Name: N/A | Frequency: ME
AporEner | Entity: Sistema | Name: N/A | Frequency: ME
VoluUtilDiarEner | Entity: Sistema | Name: N/A | Frequency: ME
AporEnerMediHist | Entity: Sistema | Name: N/A | Frequency: ME
